paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,bloom_prompt_question1_1,bloom_response_question_1_1
rose_nichols_2020,1,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
rose_nichols_2020,1,2,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
rose_nichols_2020,1,3,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
rose_nichols_2020,1,4,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
rose_nichols_2020,1,5,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
rose_nichols_2020,1,6,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",clock.
rose_nichols_2020,1,7,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
rose_nichols_2020,1,8,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",clock.
rose_nichols_2020,1,9,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
rose_nichols_2020,1,10,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up. Is the thing after the special operation a hot plate or clock? I think it is a",hot plate
