,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_question_1,bloom_response_question_2
48,living_natural_kinds,l_1_chickencow_1,1,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken because the thing after,a chicken. If it is
48,living_natural_kinds,l_1_chickencow_1,2,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken.
In fact,","a chicken, because the thing"
48,living_natural_kinds,l_1_chickencow_1,3,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken. I think the,a cow. After the special
48,living_natural_kinds,l_1_chickencow_1,4,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,not a cow or a chicken,a chicken. Because the thing
48,living_natural_kinds,l_1_chickencow_1,5,chicken_to_cow_app_original_telo_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken. Because they perform,"a chicken, because it still"
49,living_natural_kinds,l_1_chickencow_2,1,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken, because the thing",a chicken. The reason is
49,living_natural_kinds,l_1_chickencow_2,2,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken because it is not,a cow because the thing looks
49,living_natural_kinds,l_1_chickencow_2,3,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a cow.
In the case",still a chicken because a chicken
49,living_natural_kinds,l_1_chickencow_2,4,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a cow.
If it is",neither a chicken nor a cow
49,living_natural_kinds,l_1_chickencow_2,5,chicken_to_cow_app_original_telo_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a cow. Because the thing,a cow because they are only
