category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,gpt3_response_scenario_1,gpt3_response_scenario_1_retrieved,gpt3_response_scenario_2,gpt3_response_scenario_2_retrieved
artifacts,a_1_bm_1,1,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The answer is that it is a bed. Microwaves are made of metal, plastic, glass, and ceramic components, while beds are made of wood, metal, or upholstered fabric. Therefore, the thing after the special",bed,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_1,2,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The answer is that it depends on how you define a bed. If you consider a bed to be a piece of furniture with a flat surface that is meant for sleeping on, then the answer would be that the thing after the special operation is",unsure,The thing after the special operation is a bed.,bed
artifacts,a_1_bm_1,3,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a bed.,bed,The thing after the special procedure is a bed.,bed
artifacts,a_1_bm_1,4,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,It is a bed.,bed,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_1,5,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a bed.,bed,The thing after the special procedure is a bed.,bed
artifacts,a_1_bm_2,1,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The scientific community would say that the thing after the special operation is a microwave, since that is what it is made of.",microwave,The thing after the special procedure is a microwave.,microwave
artifacts,a_1_bm_2,2,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a microwave.,microwave,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_2,3,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The answer is that it is a microwave.,microwave,The thing after the special procedure is a microwave.,microwave
artifacts,a_1_bm_2,4,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,microwave,The thing after the special procedure is a microwave.,microwave
artifacts,a_1_bm_2,5,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a microwave.,microwave,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_3,1,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a bed.,bed,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_3,2,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,It is a microwave.,microwave,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_3,3,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,It is safe to say that the thing after the special operation is a microwave.,microwave,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_3,4,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The answer seems to be that the thing after the special operation is a microwave, since it is only made of materials that microwaves are typically made of.",microwave,The thing after the special procedure is a microwave.,microwave
