,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
0,non_living_natural_kinds,nl_1_lc_1,1,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Because lightning is not,lightning,lightning. The operation can turn,lightning
0,non_living_natural_kinds,nl_1_lc_1,2,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, because the thing after",lightning,lightning because the thing after the,lightning
0,non_living_natural_kinds,nl_1_lc_1,3,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning because the thing after the,lightning,a cloud because of the following,cloud
0,non_living_natural_kinds,nl_1_lc_1,4,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, because in the question",lightning,a cloud. Because the thing,cloud
0,non_living_natural_kinds,nl_1_lc_1,5,lightning_to_cloud_app_original_telo_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,cloud. Because the thing after,cloud,"a cloud, because it can",cloud
1,non_living_natural_kinds,nl_1_lc_2,1,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because lightning is,cloud,"a cloud, because the thing",cloud
1,non_living_natural_kinds,nl_1_lc_2,2,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because the thing,cloud,"lightning, because it is a",lightning
1,non_living_natural_kinds,nl_1_lc_2,3,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because lightning is,cloud,"cloud.
The thing after the",cloud
1,non_living_natural_kinds,nl_1_lc_2,4,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Because the thing after,lightning,lightning. Because it looks like,lightning
1,non_living_natural_kinds,nl_1_lc_2,5,lightning_to_cloud_app_original_telo_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because I believe that,cloud,lightning because it has the same,lightning
