Unnamed: 0,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,gpt3_response_question_1_2,categorization_rating
0,rose_nichols_2020,1,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
1,rose_nichols_2020,1,2,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
2,rose_nichols_2020,1,3,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,It is a clock.,"No, the thing after the special operation is a clock and does not have the capability to heat up.",clock
3,rose_nichols_2020,1,4,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,Clock,"No, it does not retain the true purpose of hotplates.",clock
4,rose_nichols_2020,1,5,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation is a clock and does not retain the true purpose of hotplates.",clock
5,rose_nichols_2020,1,6,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,Clock,"No, the thing after the special operation is a clock and no longer a hotplate.",clock
6,rose_nichols_2020,1,7,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation is a clock and no longer heats up.",clock
7,rose_nichols_2020,1,8,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
8,rose_nichols_2020,1,9,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the operation is a clock.,"No, the thing after the operation is a clock and no longer a hotplate.",clock
9,rose_nichols_2020,1,10,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
10,rose_nichols_2020,1,11,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
11,rose_nichols_2020,1,12,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
12,rose_nichols_2020,1,13,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special procedure is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
13,rose_nichols_2020,1,14,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates. It only tells time.",clock
14,rose_nichols_2020,1,15,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
